Group;Participant;Sound;Token#;F1;F2;F3;Language;Time;VerbalInt;BestBq;BestEng;ExpL1;Alondra;Inhibition;Precision_E;Precision_y;Distance
Auditory;105;e;13;514;2165;2791;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;2.547831738
Auditory;105;e;14;478;2341;2893;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;2.444550461
Auditory;105;e;15;536;2205;2661;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;4.657555872
Auditory;105;e;16;490;2289;2916;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;0.480463896
Auditory;105;e;17;537;2176;2747;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;5.018848141
Auditory;105;e;18;500;2205;2895;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;0.681363792
Auditory;105;e;19;500;2267;2813;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;0.416766808
Auditory;105;e;20;485;2168;2633;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;3.297020884
Auditory;105;e;21;461;2274;2705;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;2.246502394
Auditory;105;e;22;493;2352;3061;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;3.963616597
Auditory;105;e;23;491;2212;2781;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;0.623399628
Auditory;105;e;24;505;2227;2905;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;0.457711985
Auditory;105;e;25;512;2309;2898;L1;T0;117;30;41;60;218;0;32.29335158;74.16703822;3.538822457
Auditory;107;e;1;448;2452;3025;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;1.799463817
Auditory;107;e;2;459;2388;3013;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.122294921
Auditory;107;e;3;455;2412;3132;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.368172418
Auditory;107;e;4;435;2419;3096;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;2.422945797
Auditory;107;e;5;450;2368;2995;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;1.122932029
Auditory;107;e;6;474;2380;2955;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.198795711
Auditory;107;e;7;448;2438;3050;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;1.297285099
Auditory;107;e;8;470;2437;3099;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;1.244574625
Auditory;107;e;9;455;2476;3149;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;2.945551453
Auditory;107;e;10;440;2376;2981;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;2.21048383
Auditory;107;e;11;456;2402;3083;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.239627341
Auditory;107;e;12;451;2374;3093;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.86172781
Auditory;107;e;13;493;2385;3036;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;2.189643121
Auditory;107;e;14;452;2411;3125;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.515629514
Auditory;107;e;15;467;2446;3043;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;1.503580936
Auditory;107;e;16;462;2353;2989;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.681595432
Auditory;107;e;17;456;2356;3035;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.956808717
Auditory;107;e;18;496;2233;3121;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;9.755843552
Auditory;107;e;19;479;2312;3053;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;2.332425289
Auditory;107;e;20;479;2357;2959;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.666235171
Auditory;107;e;21;458;2340;2975;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;1.466399972
Auditory;107;e;22;463;2384;3040;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.034559379
Auditory;107;e;23;471;2426;3014;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;0.855661084
Auditory;107;e;24;508;2368;3113;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;4.900084895
Auditory;107;e;25;508;2428;3118;L1;T0;100;31;50;60;255;-0,315;12.60335054;100.4653091;7.307678089
Auditory;108;e;1;548;2395;2930;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.550759008
Auditory;108;e;2;392;2423;2967;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;7.871917006
Auditory;108;e;3;508;2359;3067;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;2.641682142
Auditory;108;e;4;480;2414;3027;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.644239648
Auditory;108;e;5;452;2363;2928;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;4.25621134
Auditory;108;e;6;502;2485;3131;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.414623701
Auditory;108;e;7;476;2464;3066;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.303373689
Auditory;108;e;8;560;2494;3082;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.262113689
Auditory;108;e;9;508;2389;3079;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.580948204
Auditory;108;e;10;622;2394;3073;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;5.226904796
Auditory;108;e;11;600;2375;3049;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;4.45608693
Auditory;108;e;12;497;2557;3092;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.737012294
Auditory;108;e;13;560;2442;3055;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.670792859
Auditory;108;e;14;541;2491;3014;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.023893351
Auditory;108;e;15;598;2490;3188;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.60197911
Auditory;108;e;16;523;2599;3112;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;2.468903983
Auditory;108;e;17;547;2572;3158;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.306896274
Auditory;108;e;18;565;2556;3132;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.074116773
Auditory;108;e;19;593;2531;3181;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.510005933
Auditory;108;e;20;566;2538;3178;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.75316699
