Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Conflicting;218;i;L1;T0;234;0;1740.371822;233.8812518
Conflicting;219;i;L1;T0;172;-0,1621;2556.800075;317.1360199
Conflicting;221;i;L1;T0;204;0;2844.191677;41.63536037
Conflicting;222;i;L1;T0;197;-0,062;3231.677708;93.74519023
Conflicting;223;i;L1;T0;270;0;2194.012816;97.22313688
Conflicting;225;i;L1;T0;274;-0,0467;2158.806473;44.83518495
Conflicting;227;i;L1;T0;245;-0,314;1577.246558;396.6254646
Conflicting;228;i;L1;T0;271;0;1125.863426;39.44398479
Conflicting;229;i;L1;T0;190;0;1412.32545;186.6427065
Novel;301;i;L1;T0;224;-0,9083;2838.576685;51.39393225
Novel;302;i;L1;T0;;0;4880.732071;49.39670554
Novel;303;i;L1;T0;188;0;9603.209491;259.8716375
Novel;304;i;L1;T0;259;0;1496.342079;23.84701631
Novel;305;i;L1;T0;274;0;1424.981767;270.1908286
Novel;306;i;L1;T0;188;-0,5168;4044.19475;73.84171788
Novel;307;i;L1;T0;195;-0,199;2275.337746;139.430019
Novel;308;i;L1;T0;212;0;4426.957484;74.98204223
Novel;309;i;L1;T0;206;0;2720.689522;264.8280838
Novel;310;i;L1;T0;191;-0,1579;3708.506584;101.167294
Novel;311;i;L1;T0;231;-0,096;2876.680728;75.24971118
Novel;312;i;L1;T0;269;-0,0322;2053.647765;151.3814588
Novel;313;i;L1;T0;273;0;5993.008997;172.1349187
Novel;314;i;L1;T0;178;-0,1345;5525.092724;84.92310719
Novel;315;i;L1;T0;235;-0,0499;1153.606449;154.0135134
Novel;316;i;L1;T0;213;-0,1526;1593.276784;38.16417288
Novel;317;i;L1;T0;225;-0,128;2935.23991;1242.78019
Novel;318;i;L1;T0;185;0;3350.386929;47.03632967
Novel;320;i;L1;T0;202;0;3934.246841;174.7684585
Novel;321;i;L1;T0;212;-0,0635;1806.054174;68.24936499
Novel;322;i;L1;T0;206;-0,4812;3090.764896;90.33495628
Novel;325;i;L1;T0;196;-0,082;1609.374417;101.747305
Novel;326;i;L1;T0;234;0;6534.994879;41.96541753
Novel;328;i;L1;T0;232;-0,1358;3069.582695;14.149775
Novel;329;i;L1;T0;274;0;7322.979306;100.4405678
Auditory;101;u;L1;T0;267;-0,0648;2811.62888;43.48207134
Auditory;102;u;L1;T0;253;0;1476.962626;143.2045427
Auditory;103;u;L1;T0;191;0;1613.455361;44.21602206
Auditory;104;u;L1;T0;237;0;2453.924695;98.90285879
Auditory;105;u;L1;T0;218;0;1458.445024;74.16703822
Auditory;107;u;L1;T0;255;-0,315;2227.998954;100.4653091
Auditory;108;u;L1;T0;242;0;4747.231194;174.8094036
Auditory;109;u;L1;T0;175;0;1139.294631;348.0111407
Auditory;110;u;L1;T0;236;-0,2518;22756.47069;14.74067555
Auditory;111;u;L1;T0;186;0;5451.8126;96.55886756
Auditory;112;u;L1;T0;180;0;3047.056854;142.6363673
Auditory;113;u;L1;T0;230;-0,0941;2412.339009;546.756153
Auditory;114;u;L1;T0;250;-0,0115;998.3417519;87.42411851
Auditory;115;u;L1;T0;194;-0,2189;2672.225193;249.883081
Auditory;116;u;L1;T0;197;-0,345;2196.085161;188.9346588
Auditory;117;u;L1;T0;247;0;686.0434271;197.5663177
Auditory;118;u;L1;T0;193;-0,4282;1544.01695;25.73199703
Auditory;119;u;L1;T0;183;-0,1424;1454.199908;62.73655649
Auditory;120;u;L1;T0;229;-0,1764;1459.909471;179.3582861
Auditory;121;u;L1;T0;216;0;1746.944987;100.5586727
Auditory;122;u;L1;T0;220;-0,1658;1942.664561;53.50806563
Auditory;123;u;L1;T0;252;-0,1044;3540.912683;115.7036039
Auditory;124;u;L1;T0;226;-0,1132;9342.727777;38.00562808
Auditory;125;u;L1;T0;263;0;3394.316983;528.2855056
Auditory;126;u;L1;T0;138;-0,7027;1339.84832;40.3247956
Conflicting;201;u;L1;T0;187;-0,1641;870.0907423;71.69810876
Conflicting;202;u;L1;T0;230;0;2477.513264;173.9209816
Conflicting;203;u;L1;T0;212;-1,2584;2202.359541;149.7305345
Conflicting;204;u;L1;T0;278;0;920.2379173;14.22711432
Conflicting;205;u;L1;T0;234;-0,056;2464.180426;188.4073686
Conflicting;206;u;L1;T0;234;-0,1904;1309.195685;561.7535237
Conflicting;207;u;L1;T0;208;-0,0683;2317.951377;480.5450009
Conflicting;208;u;L1;T0;200;-1,1383;855.7462262;5.79260806
Conflicting;209;u;L1;T0;209;0;1661.931568;168.1178514
Conflicting;210;u;L1;T0;210;0;925.7542491;36.97037559
Conflicting;211;u;L1;T0;208;0;1294.567466;108.1057787
Conflicting;212;u;L1;T0;277;-0,0814;715.4240475;38.31344022
Conflicting;213;u;L1;T0;219;-0,0131;3001.998221;340.3732066
Conflicting;214;u;L1;T0;251;-0,1848;381.1863601;29.89638217
Conflicting;215;u;L1;T0;188;-0,0196;2085.157191;28.77586663
Conflicting;217;u;L1;T0;232;-0,0401;3426.316192;260.4713442
Conflicting;218;u;L1;T0;234;0;1180.963854;233.8812518
Conflicting;219;u;L1;T0;172;-0,1621;3358.223814;317.1360199
Conflicting;221;u;L1;T0;204;0;2293.698953;41.63536037
Conflicting;222;u;L1;T0;197;-0,062;1203.571226;93.74519023
Conflicting;223;u;L1;T0;270;0;2066.02838;97.22313688
Conflicting;225;u;L1;T0;274;-0,0467;1093.483996;44.83518495
Conflicting;227;u;L1;T0;245;-0,314;884.3184789;396.6254646
Conflicting;228;u;L1;T0;271;0;674.0851837;39.44398479
Conflicting;229;u;L1;T0;190;0;4390.507635;186.6427065
